gene	sample01	sample02	sample03	sample04	sample05
gene001	94	98	94	93	101
gene002	105	82	94	99	102
gene003	101	92	96	113	93
gene004	103	104	94	94	115
gene005	99	97	102	97	99
gene006	118	92	91	89	92
gene007	109	92	94	103	123
gene008	97	109	104	94	107
gene009	97	115	82	97	112
gene010	107	98	106	107	105
gene011	95	102	94	98	100
gene012	92	107	104	100	117
gene013	93	123	82	95	111
gene014	106	90	93	85	106
gene015	97	112	92	83	98
gene016	84	99	92	91	82
gene017	91	97	81	98	92
gene018	111	105	88	122	89
gene019	119	107	108	98	92
gene020	79	123	116	104	105
gene021	105	95	102	116	100
gene022	90	102	94	112	102
gene023	106	116	92	119	85
gene024	93	100	103	106	99
gene025	92	101	123	114	99
gene026	113	80	84	99	107
gene027	120	103	98	107	119
gene028	126	99	118	86	97
gene029	96	92	97	92	101
gene030	100	103	99	114	114
